video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=oLayDwvANyc&pp=ygUQc2VhdHRsZSB1cmJhbmlzbQ%3D%3D,/@CityNerd,Ray Delahanty | CityNerd,"Is ""Datafication"" Making Our Cities Better?",81K,4 months,The South Lake Union neighborhood in Seattle has added thousands of housing units and thousands of new jobs in the last 15 ...,45:07.8
/watch?v=1-9Lj_dwOwU&pp=ygUQc2VhdHRsZSB1cmJhbmlzbQ%3D%3D,/@KING5Seattle,KING 5 Seattle,Seattle Kraken part of community revitalization at Northgate,2.3K,4 years,"Seattle Kraken's arrival at Northgate is part of a revitalization project that includes housing, transit and urban development.",45:07.8
/watch?v=w7PL9pf5WfA&pp=ygUQc2VhdHRsZSB1cmJhbmlzbQ%3D%3D,/@YetAnotherUrbanist,Yet Another Urbanist,"Federal Way Gets Light Rail, But It Needs A Downtown",9K,7 days,I didn't like Federal Way. Link Extension Flyover: https://www.youtube.com/watch?v=Jq5n1-plRJY Federal Way Extension ...,45:07.8
/watch?v=ELcOzunlmnk&pp=ygUQc2VhdHRsZSB1cmJhbmlzbQ%3D%3D,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,Seattle's Most Walkable Neighborhoods,11K,2 years,Seattle's Most Walkable Neighborhoods - Are you thinking about living in Seattle and want a walkable neighborhood? Make sure ...,45:07.8
/watch?v=X6C2hSSUqhw&pp=ygUQc2VhdHRsZSB1cmJhbmlzbQ%3D%3D,/@CityBeautiful,City Beautiful,Did Seattle Build the Best Pedestrian Bridge Ever?,303K,1 year,Seattle's new Overlook Walk is an impressive connection between Pike Place Market and its revitalized waterfront. Is this ...,45:07.8
/watch?v=iCskYaijjek&pp=ygUQc2VhdHRsZSB1cmJhbmlzbQ%3D%3D,/@TheUrbanist,The Urbanist,The Urbanist's Lake Washington Boulevard Bike Ride with CityNerd,338,2 years,Ray Delahanty of CityNerd was our featured guest for a September 16 bike ride and meetup in Southeast Seattle. We biked from ...,45:07.8
/watch?v=z14xYhn8I1s&pp=ygUQc2VhdHRsZSB1cmJhbmlzbQ%3D%3D,/@CitiesofLions,Cities of Lions,NFL Urbanism Episode 18 |Lumen Field | Seattle Seahawks,52,3 months,How is the urban planning around a stadium with fans so rowdy they've caused several small earthquakes?,45:07.8
/watch?v=vS9EHgBB-8I&pp=ygUQc2VhdHRsZSB1cmJhbmlzbQ%3D%3D,/@strangervideo,strangervideo,Is this the ugliest apartment building in Seattle?,4K,11 days,"It's impossible to miss Urbana. It's a gigantic apartment complex (nearly 300 units), and, because of its prime location, Northwest ...",45:07.8
/shorts/JbJHwCdmoQk,/@ReasonTV,ReasonTV,Why Seattle’s mass transit sucks,180K,6 months,Why is Seattle spending $148 billion and cutting down 14000 trees under the guise of green transportation? #Seattle ...,45:14.2
/watch?v=gZ_IFyLQQQc&pp=ygUQc2VhdHRsZSB1cmJhbmlzbQ%3D%3D,/@TransitTangents,Transit Tangents,Major Transit Expansions Coming To Seattle,32K,1 year,Seattle Light Rail has been growing like crazy the last few years and shows no signs of slowing down! After hearing from many of ...,45:14.2
